Ride,Park,Queue Time,Country,Continent,Operator
Great Chase,Six Flags America,12,United States,North America,Six Flags
Joker's Jinx,Six Flags America,12,United States,North America,Six Flags
Renegade Rapids,Six Flags America,11,United States,North America,Six Flags
Superman Ride of Steel,Six Flags America,11,United States,North America,Six Flags
Wild One,Six Flags America,11,United States,North America,Six Flags
Brain Drain,Six Flags Darien Lake,45,United States,North America,Six Flags
Tornado,Six Flags Darien Lake,43,United States,North America,Six Flags
Wahoo Wave,Six Flags Darien Lake,43,United States,North America,Six Flags
Swirl City,Six Flags Darien Lake,41,United States,North America,Six Flags
Ride of Steel,Six Flags Darien Lake,24,United States,North America,Six Flags
RipCurl Racer,Six Flags Darien Lake,24,United States,North America,Six Flags
Viper,Six Flags Darien Lake,23,United States,North America,Six Flags
Predator,Six Flags Darien Lake,20,United States,North America,Six Flags
SkyScreamer,Six Flags Darien Lake,20,United States,North America,Six Flags
Blast Off,Six Flags Darien Lake,19,United States,North America,Six Flags
Joker,Six Flags Discovery Kingdom,38,United States,North America,Six Flags
Sidewinder Safari,Six Flags Discovery Kingdom,35,United States,North America,Six Flags
Superman Ultimate Flight,Six Flags Discovery Kingdom,28,United States,North America,Six Flags
Wonder Woman Lasso of Truth,Six Flags Discovery Kingdom,26,United States,North America,Six Flags
Batman The Ride,Six Flags Discovery Kingdom,23,United States,North America,Six Flags
White Water Safari,Six Flags Discovery Kingdom,21,United States,North America,Six Flags
Medusa,Six Flags Discovery Kingdom,20,United States,North America,Six Flags
Kong,Six Flags Discovery Kingdom,17,United States,North America,Six Flags
Boomerang Coast-to-Coaster,Six Flags Discovery Kingdom,14,United States,North America,Six Flags
Monsoon Falls,Six Flags Discovery Kingdom,14,United States,North America,Six Flags
Iron Rattler,Six Flags Fiesta Texas,36,United States,North America,Six Flags
The Joker Carnival of Chaos,Six Flags Fiesta Texas,36,United States,North America,Six Flags
Wonder Woman Golden Lasso Coaster,Six Flags Fiesta Texas,36,United States,North America,Six Flags
Gully Washer,Six Flags Fiesta Texas,35,United States,North America,Six Flags
Boomerang,Six Flags Fiesta Texas,25,United States,North America,Six Flags
Bugs' White Water Rapids,Six Flags Fiesta Texas,23,United States,North America,Six Flags
Road Runner Express,Six Flags Fiesta Texas,23,United States,North America,Six Flags
Dare Devil Dive Flying Machines,Six Flags Fiesta Texas,22,United States,North America,Six Flags
Superman Krypton Coaster,Six Flags Fiesta Texas,22,United States,North America,Six Flags
Poltergeist,Six Flags Fiesta Texas,21,United States,North America,Six Flags
Wonder Woman Lasso of Truth,Six Flags Great Adventure,34,United States,North America,Six Flags
Superman Ultimate Flight,Six Flags Great Adventure,30,United States,North America,Six Flags
Nitro,Six Flags Great Adventure,24,United States,North America,Six Flags
Joker,Six Flags Great Adventure,23,United States,North America,Six Flags
El Toro,Six Flags Great Adventure,22,United States,North America,Six Flags
Jersey Devil Coaster,Six Flags Great Adventure,22,United States,North America,Six Flags
Saw Mill Log Flume,Six Flags Great Adventure,21,United States,North America,Six Flags
Justice League Battle for Metropolis,Six Flags Great Adventure,20,United States,North America,Six Flags
SkyScreamer,Six Flags Great Adventure,18,United States,North America,Six Flags
Batman The Ride,Six Flags Great Adventure,17,United States,North America,Six Flags
Sky Striker,Six Flags Great America,52,United States,North America,Six Flags
Maxx Force,Six Flags Great America,51,United States,North America,Six Flags
Superman Ultimate Flight,Six Flags Great America,47,United States,North America,Six Flags
Goliath,Six Flags Great America,43,United States,North America,Six Flags
Roaring Rapids,Six Flags Great America,39,United States,North America,Six Flags
Yankee Clipper,Six Flags Great America,39,United States,North America,Six Flags
Logger's Run,Six Flags Great America,38,United States,North America,Six Flags
Raging Bull,Six Flags Great America,35,United States,North America,Six Flags
The Dark Knight Coaster,Six Flags Great America,35,United States,North America,Six Flags
Joker,Six Flags Great America,34,United States,North America,Six Flags
Swan Boats,Six Flags Great Escape,33,United States,North America,Six Flags
Adirondack Outlaw,Six Flags Great Escape,25,United States,North America,Six Flags
Bobcat,Six Flags Great Escape,25,United States,North America,Six Flags
Desperado Plunge,Six Flags Great Escape,20,United States,North America,Six Flags
Raging River,Six Flags Great Escape,20,United States,North America,Six Flags
Thunder Alley,Six Flags Great Escape,19,United States,North America,Six Flags
Blizzard,Six Flags Great Escape,18,United States,North America,Six Flags
Storytown Train,Six Flags Great Escape,17,United States,North America,Six Flags
Canyon Blaster,Six Flags Great Escape,14,United States,North America,Six Flags
Screamin' Eagles,Six Flags Great Escape,13,United States,North America,Six Flags
Big Bambu and Reef Runner,Six Flags Hurricane Harbour NJ,32,United States,North America,Six Flags
Tornado,Six Flags Hurricane Harbour NJ,29,United States,North America,Six Flags
Taak It Eez Ee Creek,Six Flags Hurricane Harbour NJ,25,United States,North America,Six Flags
Hurricane Mountain,Six Flags Hurricane Harbour NJ,22,United States,North America,Six Flags
"Bada Bing, Bada Bang, Bada Boom!",Six Flags Hurricane Harbour NJ,18,United States,North America,Six Flags
"Boreas, Eurus, Zephyrus and Nortus",Six Flags Hurricane Harbour NJ,18,United States,North America,Six Flags
Big Wave Racer,Six Flags Hurricane Harbour NJ,16,United States,North America,Six Flags
"Cannonball, Wahini and Jurahnimo Falls",Six Flags Hurricane Harbour NJ,12,United States,North America,Six Flags
Typhoon Slide Complex,Six Flags Hurricane Harbour Concord,58,United States,North America,Six Flags
Honolulu Halfpipe,Six Flags Hurricane Harbour Concord,30,United States,North America,Six Flags
West Coast Racers,Six Flags Magic Mountain,44,United States,North America,Six Flags
X2,Six Flags Magic Mountain,42,United States,North America,Six Flags
Roaring Rapids,Six Flags Magic Mountain,39,United States,North America,Six Flags
Tatsu,Six Flags Magic Mountain,39,United States,North America,Six Flags
Full Throttle,Six Flags Magic Mountain,37,United States,North America,Six Flags
Twisted Colossus,Six Flags Magic Mountain,37,United States,North America,Six Flags
Wonder Woman Flight of Courage,Six Flags Magic Mountain,34,United States,North America,Six Flags
CraZanity,Six Flags Magic Mountain,32,United States,North America,Six Flags
Goliath,Six Flags Magic Mountain,32,United States,North America,Six Flags
Apocalypse,Six Flags Magic Mountain,29,United States,North America,Six Flags
Pandemonium,Six Flags New England,30,United States,North America,Six Flags
Harley Quinn Spinsanity,Six Flags New England,27,United States,North America,Six Flags
Blizzard River,Six Flags New England,25,United States,North America,Six Flags
Thunderbolt,Six Flags New England,25,United States,North America,Six Flags
Riddler Revenge,Six Flags New England,23,United States,North America,Six Flags
Superman the Ride,Six Flags New England,22,United States,North America,Six Flags
Batman the Dark Knight,Six Flags New England,20,United States,North America,Six Flags
SkyScreamer,Six Flags New England,19,United States,North America,Six Flags
Wicked Cyclone,Six Flags New England,19,United States,North America,Six Flags
Gotham City Gauntlet,Six Flags New England,17,United States,North America,Six Flags
Dare Devil Dive,Six Flags Over Georgia,39,United States,North America,Six Flags
Twisted Cyclone,Six Flags Over Georgia,31,United States,North America,Six Flags
Superman Ultimate Flight,Six Flags Over Georgia,28,United States,North America,Six Flags
Goliath,Six Flags Over Georgia,27,United States,North America,Six Flags
Justice League Battle for Metropolis,Six Flags Over Georgia,25,United States,North America,Six Flags
Thunder River,Six Flags Over Georgia,23,United States,North America,Six Flags
Batman The Ride,Six Flags Over Georgia,22,United States,North America,Six Flags
Catwoman Whip,Six Flags Over Georgia,20,United States,North America,Six Flags
Georgia Scorcher,Six Flags Over Georgia,19,United States,North America,Six Flags
Monster Mansion,Six Flags Over Georgia,19,United States,North America,Six Flags
New Texas Giant,Six Flags Over Texas,31,United States,North America,Six Flags
Art of Torture,Six Flags Over Texas,30,United States,North America,Six Flags
The Riddler Revenge,Six Flags Over Texas,30,United States,North America,Six Flags
Curse of Ra,Six Flags Over Texas,27,United States,North America,Six Flags
Dino Off Road Adventure,Six Flags Over Texas,27,United States,North America,Six Flags
Justice League Battle for Metropolis,Six Flags Over Texas,26,United States,North America,Six Flags
Pandemonium,Six Flags Over Texas,26,United States,North America,Six Flags
Mr Freeze Reverse Blast,Six Flags Over Texas,25,United States,North America,Six Flags
Piggy's Blood Shed,Six Flags Over Texas,24,United States,North America,Six Flags
Aquaman Power Wave,Six Flags Over Texas,22,United States,North America,Six Flags
Catwoman Whip,Six Flags St Louis,61,United States,North America,Six Flags
The Joker Carnival of Chaos,Six Flags St Louis,56,United States,North America,Six Flags
Justice League Battle for Metropolis,Six Flags St Louis,38,United States,North America,Six Flags
Thunder River,Six Flags St Louis,29,United States,North America,Six Flags
Tommy G Robertson Railroad,Six Flags St Louis,28,United States,North America,Six Flags
Typhoon Twister,Six Flags St Louis,27,United States,North America,Six Flags
Batman The Ride,Six Flags St Louis,21,United States,North America,Six Flags
Mr Freeze Reverse Blast,Six Flags St Louis,20,United States,North America,Six Flags
Pandemonium,Six Flags St Louis,19,United States,North America,Six Flags
The Boss,Six Flags St Louis,18,United States,North America,Six Flags
Run-A-Way River,Six Flags White Water Atlanta,34,United States,North America,Six Flags
Tornado,Six Flags White Water Atlanta,30,United States,North America,Six Flags
Dive Bomber,Six Flags White Water Atlanta,25,United States,North America,Six Flags
Python Plunge,Six Flags White Water Atlanta,23,United States,North America,Six Flags
Bahama Bob Slide,Six Flags White Water Atlanta,22,United States,North America,Six Flags
Dragon's Tail,Six Flags White Water Atlanta,19,United States,North America,Six Flags
Gulf Coast Screamer,Six Flags White Water Atlanta,19,United States,North America,Six Flags
Tidal Wave,Six Flags White Water Atlanta,19,United States,North America,Six Flags
Typhoon Twister,Six Flags White Water Atlanta,19,United States,North America,Six Flags
Black River Falls,Six Flags White Water Atlanta,16,United States,North America,Six Flags
Harry Potter and the Escape from Gringotts,Universal Studios Florida,47,United States,North America,Universal
Despicable Me Minion Mayhem,Universal Studios Florida,41,United States,North America,Universal
Hollywood Rip Ride Rockit,Universal Studios Florida,36,United States,North America,Universal
Hogwarts Express (King's Cross),Universal Studios Florida,33,United States,North America,Universal
Revenge of the Mummy,Universal Studios Florida,30,United States,North America,Universal
Transformers The Ride,Universal Studios Florida,30,United States,North America,Universal
The Simpsons Ride,Universal Studios Florida,25,United States,North America,Universal
Trollercoaster,Universal Studios Florida,25,United States,North America,Universal
ET Adventure,Universal Studios Florida,23,United States,North America,Universal
Fast and Furious Supercharged,Universal Studios Florida,23,United States,North America,Universal
Mario Kart: Bowser's Challenge,Universal Studios Hollywood,65,United States,North America,Universal
The Simpsons Ride,Universal Studios Hollywood,44,United States,North America,Universal
Jurassic World The Ride,Universal Studios Hollywood,38,United States,North America,Universal
Transformers The Ride,Universal Studios Hollywood,34,United States,North America,Universal
Harry Potter and the Forbidden Journey,Universal Studios Hollywood,32,United States,North America,Universal
Revenge of the Mummy,Universal Studios Hollywood,32,United States,North America,Universal
Secret Life of Pets: Off the Leash,Universal Studios Hollywood,30,United States,North America,Universal
Despicable Me Minion Mayhem,Universal Studios Hollywood,29,United States,North America,Universal
Studio Tour,Universal Studios Hollywood,26,United States,North America,Universal
Flight of the Hippogriff,Universal Studios Hollywood,22,United States,North America,Universal
Mad Mouse,Valleyfair,26,United States,North America,Six Flags
North Star,Valleyfair,24,United States,North America,Six Flags
Power Tower (Turbo Drop),Valleyfair,21,United States,North America,Six Flags
Renegade,Valleyfair,20,United States,North America,Six Flags
Thunder Canyon,Valleyfair,20,United States,North America,Six Flags
High Roller,Valleyfair,19,United States,North America,Six Flags
Xtreme Swing,Valleyfair,18,United States,North America,Six Flags
Power Tower (Space Shot),Valleyfair,17,United States,North America,Six Flags
Steel Venom,Valleyfair,17,United States,North America,Six Flags
Wild Thing,Valleyfair,16,United States,North America,Six Flags
Zambezi Zinger,Worlds of Fun,42,United States,North America,Six Flags
Spinning Dragons,Worlds of Fun,40,United States,North America,Six Flags
Fury of the Nile,Worlds of Fun,35,United States,North America,Six Flags
Viking Voyager,Worlds of Fun,31,United States,North America,Six Flags
Patriot,Worlds of Fun,29,United States,North America,Six Flags
Mamba,Worlds of Fun,24,United States,North America,Six Flags
Timberwolf,Worlds of Fun,22,United States,North America,Six Flags
Detonator,Worlds of Fun,19,United States,North America,Six Flags
Boomerang,Worlds of Fun,17,United States,North America,Six Flags
Le TaxiTour,Worlds of Fun,17,United States,North America,Six Flags
